,Номенклатура,КлассТовара
0,Память USB 2.0 Flash Silicon power 2 Gb LuxMini 720,Наиболее продаваемый
1,"Плеер MP3 Transcend T.sonic 330, 8Gb белый [2х цветный OLED дисплей, 128х32. Диктофон. FM-радио. Аккум.]",Наиболее продаваемый
2,БП ATX FinePower DNP-350 300W,Наиболее продаваемый
3,Бумага офисная Lomond Office A4 80 г\м² 500 листов,Наиболее продаваемый
4,Фотобумага Lomond A4 [0102046] 200 г\м² глянцевая односторонняя (25 л.),Наиболее продаваемый
5,Салфетки Techpoint (1111) влажные для чистки LCD экранов в тубе 100+5шт.,Наиболее продаваемый
6,"Фоторамка цифровая AirTone 8"" RF801 [цвет белый, 800x600, JPEG/MPEG4/MP3, USB/SD/MMC/MS, часы, ПДУ]",Наиболее продаваемый
7,Сотовый телефон Samsung GT-S5222 Black GSM/TFT/240x320/3.2Мп/20Мб/microSD/GPRS/EDGE/WiFi/BT/Сенсорный дисплей,Наиболее продаваемый
8,Плата Gigabyte LGA1155 GA-Z68P-DS3 Z68 4xDDR3-2133 2xPCI-Ex16 HDMI 8ch 4xSATA 2xSATA3 RAID GLAN ATX,Наиболее продаваемый
9,"Жесткий диск SATA-II  1,5Tb Western Digital Caviar Green IntelliPower [WD15EARS] 64Mb",Наиболее продаваемый
10,Диск DVD-R 4.7Gb Shrink Wrap 25 шт. (Verbatim) 16x,Наиболее продаваемый
11,Мышь беспроводная A4Tech G7-600NX-3 V-Track Brushed Black USB,Наиболее продаваемый
12,Фотобумага Lomond A4 [0102003] 120 г\м² матовая односторонняя (100 л.),Наиболее продаваемый
13,Клавиатура проводная Oklick 410M Multimedia PS/2/USB (+ USB порт),Наиболее продаваемый
14,Цифровая камера Canon PowerShot SX210 IS Black (14.1 MPix 4320x3240 14xZoom SD/SDHC NB-5L LCD3.0 USB2.0),Наиболее продаваемый
15,Память USB 2.0 Flash Kingston 8 Gb DataTraveler Micro DTMCK/8GB,Наиболее продаваемый
16,"Внешний HDD 3Q 500GB 5400rpm [3QHDD-U290M-BB500] 2.5"" USB 2.0 Black",Наиболее продаваемый
17,"Телевизор LED 32"" (81 см) LG 32LV2500 [HD, 1366x768, 1М:1, DVB-Т/С, 10 Вт х2,HDMI x3, USB(DivX)]",Наиболее продаваемый
18,"Веб-камера A4Tech PK-760E, 640x480, USB 2.0",Наиболее продаваемый
19,Плата ASRock Socket-AM3+ M3N78D (FX)  nForce720D 4xDDR3-1800 PCI-Ex16 8ch 4xSATA RAID eSATA GLAN ATX,Наиболее продаваемый
20,"10"" Сумка для планшета/ноутбука DNS/AirTone AT-W510 Red, нейлон, красный",Наиболее продаваемый
21,Память Mobile MultiMedia Card 2 Gb,Наиболее продаваемый
22,"Коммутатор D-Link DES-1005D 5x10/100Base-TX, Unmanaged",Наиболее продаваемый
23,Плата ASUS LGA775 P5G41T-M LE G41/ICH7 2xDDR3-1333 PCI-E DVI/DSub 8ch 4xSATA IDE GLAN mATX,Наиболее продаваемый
24,"Наушники SVEN SEB 24 BK [вставные (затычки), закрытые, 18-22000 Гц, каб. 1.2м, разъем 3.5мм]",Наиболее продаваемый
25,"17"" Сумка AirTone AT-K317 Blue, нейлон, синий",Наиболее продаваемый
26,"Геймпад беспроводной Dualshock3 [для PS3, USB, вибрация, цвет черный]",Наиболее продаваемый
27,Память USB 2.0 Flash Team Group 4 Gb F108,Наиболее продаваемый
28,"Жесткий диск 2.5"" SATA-II  500Gb Seagate Momentus [ST9500420AS/420ASG/423AS] 7200rpm Cache 16MB_",Наиболее продаваемый
29,Клавиатура проводная A4Tech KBS-26 Ergo Multimedia PS/2,Наиболее продаваемый
30,Зарядное устройство PLEOMAX 1016 Power Chager Plus+4 AA 2300mAh,Наиболее продаваемый
31,Картридж HP 27b (C8727BE) для DJ 3320/3325/3420/3745 Black (Ориг.),Наиболее продаваемый
32,"СЗУ для Apple 30 pin Vertex (1А, Белый)",Наиболее продаваемый
33,Пленка защитная ONEXT для Apple iPad,Наиболее продаваемый
34,"Цифровая камера Canon PowerShot SX130 IS Black (12.0MPix 4000x3000 12xZoom  SD/SDHC 2xAA/NB-3AH  3.0"")",Наиболее продаваемый
35,"Приставка для цифрового ТВ BBK STB-111 [DVB-T MPEG4, видео композ./RGB/SCART, аудио стерео/цифр.коаксиал., USB]",Наиболее продаваемый
36,Жесткий диск SATA-3  1Tb Western Digital Caviar Blue 7200rpm [WD10EALX] Cache 32MB,Наиболее продаваемый
37,Сотовый телефон Nokia C3-00 Golden White GSM/TFT/320x240/2Мп/55Мб/MicroSD/GPRS/EDGE/BT/WiFi/FM,Наиболее продаваемый
38,"Игровая приставка Microsoft Xbox 360  4 Gb + Kinect + Игра ""Kinect Adventures""",Наиболее продаваемый
39,"Монитор Samsung 19"" E1920NW [1440x900, 1000:1 (DC70000:1), 5 мс, 170гор/160вер, D-Sub]",Наиболее продаваемый
40,"Компактная камера Nikon S2500 Silver (12MPix 4000x3000 4xZoom SD TFT2.7"" EN-EL19)",Наиболее продаваемый
41,"Зарядное устройство Космос КОС-503 4х2500 [2 парных канала, LED индикатор, время заряда 8,5 ч.] + 4 аккумулятора AA 2500",Наиболее продаваемый
42,"Кронштейн для TВ Kromax Astra-9 [15-32"", наклон, поворот, до 15 кг, от 9,3 см до 39,5 см от стены, водяной уров.]",Наиболее продаваемый
43,"Наушники Philips SHE8000BL [вставные (затычки), закрытые, 10-23500 Гц, каб. 1.2м, разъем 3.5мм, черные]",Наиболее продаваемый
44,Мышь беспроводная A4Tech G7-310N-2 V-Track Pink USB,Наиболее продаваемый
45,"Корпус ZALMAN Z9 Midtower, Без БП",Наиболее продаваемый
46,"СЗУ micro USB Vertex (0.5А, Черный)",Наиболее продаваемый
47,"Телефон Panasonic KX-TS2352RU (повторный набор, рег. громкости)",Наиболее продаваемый
48,Маршрутизатор ASUS WL-520gU 4x10/100Base-TX + 802.11g (до 125Mbit/s) +1xWAN + USB2.0 (Принт-сервер),Наиболее продаваемый
49,"Кабель соединительный USB 2.0 A вилка - mini-USB 5pin вилка, 3m, Belsis [BW1421] ",Наиболее продаваемый
50,"15.6"" Сумка Sumdex PON-301GP, нейлон/полиэстер, графитовый/черный",Наиболее продаваемый
51,Вентилятор 50x50,Наиболее продаваемый
52,Считыватель Transcend TS-RDP7K [SD/SDHC/MicroSD/MMC/MS/M2]+USB 2.0   USB2.0 Black,Наиболее продаваемый
53,Память DIMM DDR3 4096MBx2 PC12800 1600MHz Corsair Vengeance CL9-9-9-24 [CMZ8GX3M2A1600C9] Black,Наиболее продаваемый
54,Клавиатура проводная Genius KB-06X/X2/ХЕ White (PS/2),Наиболее продаваемый
55,Мышь проводная A4Tech OP-720 Optical Black PS/2,Наиболее продаваемый
56,"Монитор Acer 19"" V193WEOb/WVCb/Wb/Wab/WBb/WDb/WEb [1440x900, 50000:1, 5мс, 160гор/160вер, D-Sub, TCO03]",Наиболее продаваемый
57,"7"" Планшетный ПК DNS AirTab M70g [0139632]  1 ГГц/512Мб+8Гб+SD/Емк. 800x480/MicroSD/WiFi/BT/GPS/3G/Cam 5М+1.3Мп/And 2.3",Наиболее продаваемый
58,Пленка защитная ONEXT для iPhone 3G (Матовая),Наиболее продаваемый
59,"9,7"" Чехол Krusell GAIA  IPAD 2  (71200), кожа, черный",Наиболее продаваемый
60,Веб-камера Logitech HD Webcam C615 1920x1080 Mic USB,Наиболее продаваемый
61,Процессор Intel Core i7-2600 3.4GHz (TB up to 3.8GHz)  8Mb 2xDDR3-1333 HDGraphics2000 TDP-95w   LGA1155  OEM,Наиболее продаваемый
62,"10"" Чехол Golla PETE (G1164), полиэстер, черный",Наиболее продаваемый
63,Память USB 2.0 Flash Transcend 8 Gb JetFlash V95 Classic/Deluxe,Наиболее продаваемый
64,"Коврик Mousepad Micropoint 3000@blue (для оптич. мыши, круглый 195мм тонкий, липкая основа)",Наиболее продаваемый
65,"15.6"" Сумка AirTone AT-W215 Black, нейлон, черный",Наиболее продаваемый
66,"Внешний HDD 3Q 500GB 5400rpm [3QHDD-U285/U287/U275/U277-BB500/BS500] 2.5"" USB 2.0 Black Rainbow",Наиболее продаваемый
67,Звуковая карта Creative Sound Blaster VX 5.1 [SB1070/SB1071] PCI,Наиболее продаваемый
68,"Коврик Mousepad MP3000@millenium (для оптич. мыши, круглый 195мм, тонкий, липкая основа)",Наиболее продаваемый
69,Конверты для CD двухсторонние (100шт),Наиболее продаваемый
70,Пленка защитная Media Gadget Premium для Samsung S5260 STAR II,Наиболее продаваемый
71,"Колонки Microlab 2.0 MD122 [2 x 1.2 Вт, USB-питание]",Наиболее продаваемый
72,"Адаптер беспроводной TP-LINK TL-WN7200ND USB 802.11g/b/n, до 150Mbit/s, отсоединяемая антенна 5dbi",Наиболее продаваемый
73,Клавиатура проводная Defender Matador 550B (45097) Black USB,Наиболее продаваемый
74,Картридж Canon CLI-521M для PIXMA iP3600/iP4600/MP540/MP620/MP630/MP980/MX860 Magenta (Ориг.),Наиболее продаваемый
75,Мышь проводная A4Tech X5-57D-2 Optical Silver USB,Наиболее продаваемый
76,"14"" [Home] Ноутбук DNS (0139773) (HD) Pentium B950(2.1)/2048/500/NV GT520M 1Gb/DVD-Smulti/WiFi/BT/Cam/No OS",Наиболее продаваемый
77,Видеокарта PCI-E Palit GeForce GT 440 1024MB 128bit DDR3 DVI D-Sub HDMI,Наиболее продаваемый
78,"СЗУ Apple 30 pin Vertex  (2.1A, Белый)",Наиболее продаваемый
79,"Компактная камера Canon PowerShot  A1200 Silver (12.0MPix 4000x3000 4xZoom SD/SDHC/MMC 2xAA LCD2.7"" USB2.0)",Наиболее продаваемый
80,"Чехол AirTone AT-W006 Black, нейлон, чёрный (12.0 x 8.0 x 3.0 см)",Наиболее продаваемый
81,"Фоторамка цифровая Digma 8"" PF-802 [2Gb, 800x600, SD/MMC/xD/MS, USB, JPG/MP3/MPEG4/WMA]",Наиболее продаваемый
82,"7"" Планшет Explay Informer 701 4Gb 800x480/TFT/1.0Ghz/512Mb/Cam1,3/Android 4.0",Наиболее продаваемый
83,Бумага офисная Canon Copy A4 80 г\м² 500 листов,Наиболее продаваемый
84,Память Kingston (SDHC) 8 Gb class 6,Наиболее продаваемый
85,Мышь беспроводная A4Tech G7-320N-1 V-Track Black USB,Наиболее продаваемый
86,Память DIMM DDR3 1024MB PC10666 1333Mhz Hynix orig.,Наиболее продаваемый
87,"Салфетки в мягкой упаковке Miraclean [компьютеры, 15 шт]",Наиболее продаваемый
88,Клавиатура проводная Sven Basic 304 PS/2,Наиболее продаваемый
89,"14"" [Office] Ноутбук DNS (0139772) (HD) Pentium B950(2.1)/2048/320/DVD-Smulti/WiFi/BT/Cam/No OS",Наиболее продаваемый
90,Office [0138406] Athlon II X2 250 (3.0 GHz)/2GB/320GB/DVD±RW/Без ПО,Наиболее продаваемый
91,"Электронная книга PocketBook 612 Dark Grey 6""/E-Ink/MicroSD/Wi-Fi/Bluetooth",Наиболее продаваемый
92,Сотовый телефон Nokia X2-02 Bright Red GSM/2SIM/TFT/240x320/2Мп/microSD/GPRS/EDGE/BT/FM,Наиболее продаваемый
93,"Картридж Canon CLI-521C для PIXMA iP3600/iP4600/MP540/MP620/MP630/MP980/MX860 Cyan, (120 стр.),(Ориг.)",Наиболее продаваемый
94,Память USB 3.0 Flash A-Data 8 Gb S102,Наиболее продаваемый
95,"Телевизор LCD 42"" (106 см) LG 42LK551 [FHD, 1920x1080, 150000:1, 100Гц, DVB-T/С, 10 Вт х2, HDMI x3, USB(DivX)]",Наиболее продаваемый
96,Мышь проводная A4Tech OP-35D Optical Silver PS/2,Наиболее продаваемый
97,Тонер B&W (LI-437) для HP LJ 1010/1012/1015/1018/1020 (1000 г.) (Совм.),Наиболее продаваемый
98,Home [0138332] Athlon II X2 250 (3.0 GHz)/2GB/GT520 (1024)/500GB/DVD±RW/CR/Без ПО,Наиболее продаваемый
99,"Наушники AirTone AT-Y716V [накл, полуоткр, 20-20000 Гц, каб 1.8 м, штекер 3.5мм]",Наиболее продаваемый
100,"Принтер Canon PIXMA iP2700  (A4  4800x1200dpi  7,0/4,8ipm  2pl  USB)",Наиболее продаваемый
101,"Сетевой фильтр Power Cube (5+1 розетка, 5 метра, 10А, цвет серый/желтый)",Наиболее продаваемый
102,"Телевизор LED 22"" (55 см) Irbis T22Q41FAL [FHD, 1920x1080, 1000:1, HDMIx3, USB(MPEG4/MKV)]",Наиболее продаваемый
103,Сотовый телефон Nokia X1-01 Red GSM/2SIM/TFT/128x160/MicroSD/FM/S30,Наиболее продаваемый
104,Мышь беспроводная A4Tech G7-310N-3 V-Track Blue USB,Наиболее продаваемый
105,"Монитор LG  18.5"" Flatron W1943C-PF [1366x768, DC 30000:1, 5мс, 176гор/170вер, TCO03]",Наиболее продаваемый
106,Память USB Flash Apacer AH326 [USB 2.0/16 Gb/(Черный)] (AP16GAH326B-1) (Дубль),Наиболее продаваемый
107,"Веб-камера DNS-0305AB 640x480 (1280x960 с драйверами), USB 2.0",Наиболее продаваемый
108,"Видеорегистратор Gmini MagicEye SD100 (HD/120°/экран 2.5""/SD)",Наиболее продаваемый
109,Коврик A4Tech 600MP Laser Mouse Pad 230X280mm,Наиболее продаваемый
110,Коврик A4Tech X7-700MP Gaming Mouse Pad 350X275mm,Наиболее продаваемый
111,"Телевизор LCD 42"" (106 см) LG 42LK530 [FHD, 1920x1080, 150000:1, 100Гц, DVB-T/С, 10 Вт х2, HDMI x3, USB(DivX)]",Наиболее продаваемый
112,"Веб-камера A4Tech PK-710G, 640x480, USB 2.0",Наиболее продаваемый
113,Плата ASUS LGA775 P5G41T-M LX2 G41/ICH7 2xDDR3-1333 PCI-E DSub 8ch 4xSATA IDE GLAN mATX _,Наиболее продаваемый
114,Extreme [0132139] Core i3-2120 (3.3GHz)/4GB/HD6770 (1024)/1Tb/DVD±RW/CR/Без ПО,Наиболее продаваемый
115,"Монитор Envision 24"" P2471hL [LED, Full HD, 1920x1080, DC 50M:1, 5мс, 170гор/160вер, D-Sub, DVI, HDMI, 2 x 1Вт]",Наиболее продаваемый
116,Porto  [0131407] Atom D525 (1.8GHz)/2Gb/320GB/Wi-Fi/D-sub/Без ПО,Наиболее продаваемый
117,Диск DVD-R 4.7Gb Cake Box  25 шт. (VS) 16x,Наиболее продаваемый
118,"Зеркальная камера Canon EOS 1100D Kit 18-55DC (12MP/4272x2848/EF,EF-S/SD,SDHC/LP-E10/2.7"")",Наиболее продаваемый
119,"Цифровая камера Kodak EasyShare C1505 Black (12 MPix 4102×3057 5xZoom SDHC 2xAA LCD2.5"")",Наиболее продаваемый
120,Видеокарта PCI-E Palit GeForce GT 440 1024MB 128bit GDDR5 DVI D-Sub HDMI,Наиболее продаваемый
121,"Телевизор LED 19"" (48 см) Rubin 19SL1U [HD, 1366x768, 40К:1, HDMIx2, USB] черный",Наиболее продаваемый
122,"Внешний HDD WD 320GB Elements Portable [WDBAAR3200ABK] 2.5"" USB 2.0",Наиболее продаваемый
123,"Монитор LG  20"" Flatron W2043S/W2043SE/W2043С [1600x900, DC 30000:1, 5мс, 170гор/160вер, TCO03]",Наиболее продаваемый
